root_key,icon_file,concept_ja
bheg-,root-bheg.png,壊す
-lo-,root-lo.png,小
gerə-2,root-gere2.png,かすれる
skai-2,root-skai2.png,輝く
stebh-,root-stebh.png,柱
-(i)ko-,root-iko.png,
al-5,root-al5.png,全て
bhegʷ-,root-bhegw.png,走る
erə-3,root-ere3.png,分ける
kʷei-1,root-kwei1.png,支払う
leb-2,root-leb2.png,垂れる
leit-2,root-leit2.png,出かける
leubh-,root-leubh.png,気に掛ける
merk-3,root-merk3.png,商業
newn̥,root-newn.png,九
peku-,root-peku.png,財産
pel-1,root-pel1.png,粉
per-3,root-per3.png,試す
septm̥,root-septm.png,七
smīk-,root-smik.png,小さい
stom-en-,root-stomen.png,開口部
ter-,root-ter.png,境界線
tkē-,root-tke.png,支配力
wadh-1,root-wadh1.png,堅い約束
wendh-,root-wendh.png,回す
yeu-,root-yeu.png,生命の力
ghwer-,root-ghwer.png,野生動物
gleubh-,root-gleubh.png,引き裂く
prek-,root-prek.png,尋ねる
sleubh-,root-sleubh.png,滑る
wes-4,root-wes4.png,着る
kʷel-2,root-kwel2.png,遠い
(s)peis-,root-speis.png,吹く
(s)peik-,root-speik.png,鳥
geus-,root-geus.png,味わう
seuə-2,root-seue2.png,飲む
-ti-,root-ti.png,
Frankon-,root-frankon.png,フランク
aks-,root-aks.png,軸
bheudh-,root-bheudh.png,知らせる
bheug-1,root-bheug1.png,逃げる
ers-,root-ers.png,動く
erə-2,root-ere2.png,網
genu-2,root-genu2.png,あご
gh(e)r-3,root-gher3.png,輝く
ghrendh-,root-ghrendh.png,細かく砕く
keit-,root-keit.png,光る
kop-,root-kop.png,打つ
reuə-2,root-reue2.png,粉砕
sū-,root-su.png,豚
tāg-,root-tag-2.png,整列
wed-2,root-wed2.png,話す
weidh-,root-weidh.png,分離
wē-,root-we.png,吹く
(s)keuə-,root-skeue.png,気づく
bher-3,root-bher3.png,茶色
gher-5,root-gher5.png,欲する
pel-4,root-pel4.png,皮膚
ghāi-,root-ghai.png,あくび
kreus-,root-kreus.png,凍る
nas-,root-nas.png,鼻
teutā-,root-teuta.png,族
bheug-2,root-bheug2.png,楽しむ
bheug-3,root-bheug3.png,曲がる
kamp-,root-kamp.png,曲がる
mad-,root-mad.png,湿る
(s)lagʷ-,root-slagw.png,握る
(s)preg-2,root-spreg2.png,跳ねる
andh-,root-andh.png,花期
bhardh-ā-,root-bhardha.png,ひげ
bher-4,root-bher4.png,焼く
bhes-2,root-bhes2.png,呼吸する
dheiə-,root-dheie.png,見る
dher-1,root-dher1.png,暗い
dus-,root-dus.png,悪い
