root_key,icon_file,concept_ja
gʷhedh-,root-gwhedh.png,尋ねる・祈る
ken-2,root-ken2.png,新鮮
kenk-,root-kenk.png,巻く
ksero-,root-ksero.png,乾く
kʷer-,root-kwer.png,作る
leug-2,root-leug2.png,曲がる
maghu-,root-maghu.png,若者
mend-,root-mend.png,欠陥
meus-,root-meus.png,湿気
mu-,root-mu.png,蚊
nes-2,root-nes2.png,私たち
nobh-,root-nobh.png,へそ
pleus-,root-pleus.png,引き裂く
porko-,root-porko.png,豚
pō̆l-,root-pol.png,落下
r̥tko-,root-rtko.png,熊
sai-2,root-sai2.png,束ねる
sel-1,root-sel1.png,集落・居住地
sel-2,root-sel2.png,好意を示す
serp-2,root-serp2.png,這う
spreg-1,root-spreg1.png,話す
treb-,root-treb.png,住処
twei-,root-twei.png,かき混ぜる
wegʷ-,root-wegw.png,濡れた・湿った
weik-3,root-weik3.png,似ている
wrod-,root-wrod.png,薔薇
ē,root-e.png,離れて
ghēu-,root-gheu-2.png,大口を開く
bat-,root-bat.png,あくび
bhel-4,root-bhel4.png,叫ぶ
past-,root-past.png,固い
sekʷ-3,root-sekw3.png,言う
tauro-,root-tauro.png,雄牛
(s)kʷal-o-,root-skwalo.png,鯨
agh-1,root-agh1.png,落胆
ark-,root-ark.png,持つ
asp-,root-asp.png,切る
au-2,root-au2.png,離れる
bend-,root-bend.png,突起
bhoso-,root-bhoso.png,裸
bhē-,root-bhe.png,浴びる
demə-,root-deme.png,拘束する
derə-,root-dere.png,働く
gemə-,root-geme.png,結婚する
gheldh-,root-gheldh.png,支払う
gher-4,root-gher4.png,擦る
gho-,root-gho.png,これ
kamer-,root-kamer.png,納骨室
kleg-,root-kleg.png,叫ぶ
kous-,root-kous.png,聞く
kreiə-,root-kreie.png,目立つ
kwelp-,root-kwelp.png,弓状に曲げる
kʷezd-,root-kwezd.png,部分
laku-,root-laku.png,水溜り
leb-,root-leb.png,舐める・唇
lek-,root-lek.png,守る
lendh-1,root-lendh1.png,腰
lādh-,root-ladh.png,隠す
mei-no-,root-meino.png,意見
merə-,root-mere.png,妨げる
mon-,root-mon.png,首
mēlon,root-melon.png,果実
mō-,root-mo.png,努力
nek-3,root-nek3.png,連れる
om-,root-om.png,生
or-,root-or-2.png,猛禽
pik-,root-pik.png,樹脂・ピッチ
pīp(p)-,root-pipp.png,覗く
reu-,root-reu.png,怒鳴る
seikʷ-,root-seikw.png,溢れる
sekʷ-2,root-sekw2.png,気づく
senə-1,root-sene1.png,分離
sker-4,root-sker4.png,排出物
sleidh-,root-sleidh.png,滑る
srīg-,root-srig.png,冷たい
swei-2,root-swei2.png,曲げる
sweng(w)-,root-swengw.png,飛ぶ
taw-,root-taw.png,作る
tekʷ-,root-tekw.png,走る
trozdo-,root-trozdo.png,つぐみ
wei-3,root-wei3.png,欠点
welə-2,root-wele2.png,打つ
wers-2,root-wers2.png,滴る
wes-3,root-wes3.png,棲む
yā-,root-ya.png,求む
bhrū-,root-bhru.png,眉
mē-4,root-me4.png,刈る
āter-,root-ater.png,火
eu-,root-eu.png,着る
mendh-,root-mendh.png,学ぶ
pel-5,root-pel5.png,売る
leud-,root-leud.png,小
swem-,root-swem.png,泳ぐ
tenk-1,root-tenk1.png,伸ばす
ēs-,root-es-2.png,座る
(s)peud-,root-speud.png,追い払う
-yo-3,root-yo3.png,
ap-2,root-ap2.png,水
aus-3,root-aus3.png,汲む
ayer-,root-ayer.png,朝
bha-bhā-,root-bhabha.png,そら豆
bhad-,root-bhad.png,良い
bhengh-,root-bhengh.png,厚い
bhreu-,root-bhreu.png,ばらばらにする
brāk-,root-brak.png,ズボン
carcer,root-carcer.png,牢
dail-,root-dail.png,分ける
dan-,root-dan.png,低地
dap-,root-dap.png,配分
dek-2,root-dek2.png,尾飾
derk-,root-derk.png,見る
dhel-,root-dhel.png,谷
dreug-,root-dreug.png,乾く
dwei-,root-dwei.png,恐れる
eg,root-eg.png,私
g(e)u-lo-,root-geulo.png,炭
gep(h)-,root-geph.png,口
gh(e)n-,root-ghen.png,かじる
ghazdh-o-,root-ghazdho.png,竿
ghel-1,root-ghel1.png,呼ぶ
ghow-ē-,root-ghowe.png,崇拝
